CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,Tenure Group,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Monthly Charges Bucket,Total Charges,Churn
9867-JCZSP,female,0,yes,yes,17,13-24,yes,no,no,No,No,No,No,No,No,one year,no,mailed check,20.75,20,418.25,no
4671-VJLCL,female,0,no,no,63,49+,yes,yes,dsl,yes,yes,yes,yes,yes,no,two year,yes,credit card (automatic),79.85,70,4861.45,no
4080-IIARD,female,0,yes,no,13,13-24,yes,yes,dsl,yes,yes,no,yes,yes,no,month-to-month,yes,electronic check,76.2,70,981.45,no
3714-NTNFO,female,0,no,no,49,49+,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,84.5,80,3906.7,no
5948-UJZLF,male,0,no,no,2,0-12,yes,no,dsl,no,yes,no,no,no,no,month-to-month,no,mailed check,49.25,40,97,no
7760-OYPDY,female,0,no,no,2,0-12,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,80.65,80,144.15,yes
7639-LIAYI,male,0,no,no,52,49+,yes,yes,dsl,yes,no,no,yes,yes,yes,two year,yes,credit card (automatic),79.75,70,4217.8,no
2954-PIBKO,female,0,yes,yes,69,49+,yes,yes,dsl,yes,no,yes,yes,no,no,two year,yes,credit card (automatic),64.15,60,4254.1,no
8012-SOUDQ,female,1,no,no,43,25-48,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,electronic check,90.25,90,3838.75,no
9420-LOJKX,female,0,no,no,15,13-24,yes,no,fiber optic,yes,yes,no,no,yes,yes,month-to-month,yes,credit card (automatic),99.1,90,1426.4,yes
6575-SUVOI,female,1,yes,no,25,25-48,yes,yes,dsl,yes,no,no,yes,yes,no,month-to-month,yes,credit card (automatic),69.5,60,1752.65,no
7495-OOKFY,female,1,yes,no,8,0-12,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,credit card (automatic),80.65,80,633.3,yes
4667-QONEA,female,1,yes,yes,60,49+,yes,no,dsl,yes,yes,yes,yes,no,yes,one year,yes,credit card (automatic),74.85,70,4456.35,no
1658-BYGOY,male,1,no,no,18,13-24,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,95.45,90,1752.55,yes
8769-KKTPH,female,0,yes,yes,63,49+,yes,yes,fiber optic,yes,no,no,no,yes,yes,one year,yes,credit card (automatic),99.65,90,6311.2,no
5067-XJQFU,male,1,yes,yes,66,49+,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,electronic check,108.45,100,7076.35,no
3957-SQXML,female,0,yes,yes,34,25-48,yes,yes,no,No,No,No,No,No,No,two year,no,credit card (automatic),24.95,20,894.3,no
5954-BDFSG,female,0,no,no,72,49+,yes,yes,fiber optic,no,no,yes,yes,yes,yes,two year,yes,credit card (automatic),107.5,100,7853.7,no
0434-CSFON,female,0,yes,no,47,25-48,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,100.5,100,4707.1,no
1215-FIGMP,male,0,no,no,60,49+,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,bank transfer (automatic),89.9,80,5450.7,no
0526-SXDJP,male,0,yes,no,72,49+,no,No,dsl,yes,yes,yes,no,no,no,two year,no,bank transfer (automatic),42.1,40,2962,no
0557-ASKVU,female,0,yes,yes,18,13-24,yes,no,dsl,no,no,yes,yes,no,no,one year,yes,credit card (automatic),54.4,50,957.1,no
5698-BQJOH,female,0,no,no,9,0-12,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,no,electronic check,94.4,90,857.25,yes
5122-CYFXA,female,0,no,no,3,0-12,yes,no,dsl,no,yes,no,yes,yes,yes,month-to-month,yes,electronic check,75.3,70,244.1,no
8627-ZYGSZ,male,0,yes,no,47,25-48,yes,yes,fiber optic,no,yes,no,no,no,no,one year,yes,electronic check,78.9,70,3650.35,no
3410-YOQBQ,female,0,no,no,31,25-48,yes,no,dsl,no,yes,yes,yes,yes,yes,two year,no,mailed check,79.2,70,2497.2,no
3170-NMYVV,female,0,yes,yes,50,49+,yes,no,no,No,No,No,No,No,No,two year,no,bank transfer (automatic),20.15,20,930.9,no
7410-OIEDU,male,0,no,no,10,0-12,yes,no,fiber optic,yes,no,yes,no,no,no,month-to-month,yes,mailed check,79.85,70,887.35,no
2273-QCKXA,male,0,no,no,1,0-12,yes,no,dsl,no,no,no,yes,no,no,month-to-month,no,mailed check,49.05,40,49.05,no
0731-EBJQB,female,0,yes,yes,52,49+,yes,no,no,No,No,No,No,No,No,one year,yes,electronic check,20.4,20,1090.65,no
1891-QRQSA,male,1,yes,yes,64,49+,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,bank transfer (automatic),111.6,110,7099,no
8028-PNXHQ,male,0,yes,yes,62,49+,yes,yes,no,No,No,No,No,No,No,two year,yes,bank transfer (automatic),24.25,20,1424.6,no
5630-AHZIL,female,0,no,yes,3,0-12,yes,no,dsl,yes,no,no,yes,no,yes,month-to-month,yes,bank transfer (automatic),64.5,60,177.4,no
2673-CXQEU,female,1,no,no,56,49+,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,no,electronic check,110.5,110,6139.5,no
6416-JNVRK,female,0,no,no,46,25-48,yes,no,dsl,no,no,no,no,no,yes,one year,no,credit card (automatic),55.65,50,2688.85,no
5590-ZSKRV,female,0,yes,yes,8,0-12,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,no,mailed check,54.65,50,482.25,no
0191-ZHSKZ,male,1,no,no,30,25-48,yes,no,dsl,yes,yes,no,no,yes,yes,month-to-month,yes,electronic check,74.75,70,2111.3,no
3887-PBQAO,female,0,yes,yes,45,25-48,yes,yes,no,No,No,No,No,No,No,one year,yes,credit card (automatic),25.9,20,1216.6,no
5919-TMRGD,female,0,no,yes,1,0-12,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,79.35,70,79.35,yes
8108-UXRQN,female,0,yes,yes,11,0-12,no,No,dsl,yes,no,no,no,yes,yes,month-to-month,no,electronic check,50.55,50,565.35,no
9191-MYQKX,female,0,yes,no,7,0-12,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,bank transfer (automatic),75.15,70,496.9,yes
9919-YLNNG,female,0,no,no,42,25-48,yes,no,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,bank transfer (automatic),103.8,100,4327.5,no
0318-ZOPWS,female,0,yes,no,49,49+,yes,no,no,No,No,No,No,No,No,two year,yes,bank transfer (automatic),20.15,20,973.35,no
4445-ZJNMU,male,0,no,no,9,0-12,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,credit card (automatic),99.3,90,918.75,no
4808-YNLEU,female,0,yes,no,35,25-48,yes,no,dsl,yes,no,no,no,yes,no,one year,yes,bank transfer (automatic),62.15,60,2215.45,no
1862-QRWPE,female,0,yes,yes,48,25-48,yes,no,no,No,No,No,No,No,No,two year,no,bank transfer (automatic),20.65,20,1057,no
2796-NNUFI,female,0,yes,yes,46,25-48,yes,no,no,No,No,No,No,No,No,two year,yes,mailed check,19.95,10,927.1,no
3016-KSVCP,male,0,yes,no,29,25-48,no,No,dsl,no,no,no,no,yes,no,month-to-month,no,mailed check,33.75,30,1009.25,no
4767-HZZHQ,male,0,yes,yes,30,25-48,yes,no,fiber optic,no,yes,yes,no,no,no,month-to-month,no,bank transfer (automatic),82.05,80,2570.2,no
2424-WVHPL,male,1,no,no,1,0-12,yes,no,fiber optic,no,no,no,yes,no,no,month-to-month,no,electronic check,74.7,70,74.7,no
7233-PAHHL,male,0,yes,yes,66,49+,yes,yes,dsl,yes,no,yes,yes,yes,yes,two year,yes,mailed check,84,80,5714.25,no
6067-NGCEU,female,0,no,no,65,49+,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),111.05,110,7107,no
9848-JQJTX,male,0,no,no,72,49+,yes,yes,fiber optic,no,yes,yes,no,yes,yes,two year,yes,bank transfer (automatic),100.9,100,7459.05,no
8637-XJIVR,female,0,no,no,12,0-12,yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,yes,electronic check,78.95,70,927.35,yes
9803-FTJCG,male,0,yes,yes,71,49+,yes,yes,dsl,yes,yes,no,yes,no,no,one year,yes,credit card (automatic),66.85,60,4748.7,no
0278-YXOOG,male,0,no,no,5,0-12,yes,no,no,No,No,No,No,No,No,month-to-month,no,mailed check,21.05,20,113.85,yes
3212-KXOCR,male,0,no,no,52,49+,yes,no,no,No,No,No,No,No,No,two year,no,bank transfer (automatic),21,20,1107.2,no
4598-XLKNJ,female,1,yes,no,25,25-48,yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,98.5,90,2514.5,yes
6380-ARCEH,male,0,no,no,1,0-12,yes,no,no,No,No,No,No,No,No,month-to-month,no,mailed check,20.2,20,20.2,no
3679-XASPY,female,0,yes,yes,1,0-12,yes,no,no,No,No,No,No,No,No,month-to-month,no,electronic check,19.45,10,19.45,no
7123-WQUHX,male,0,no,no,38,25-48,yes,yes,fiber optic,no,no,yes,yes,yes,no,one year,no,bank transfer (automatic),95,90,3605.6,no
5386-THSLQ,female,1,yes,no,66,49+,no,No,dsl,no,yes,yes,no,yes,no,one year,no,bank transfer (automatic),45.55,40,3027.25,no
3192-NQECA,male,0,yes,no,68,49+,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),110,110,7611.85,yes
6180-YBIQI,male,0,no,no,5,0-12,no,No,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,24.3,20,100.2,no
6728-DKUCO,female,0,yes,yes,72,49+,yes,yes,fiber optic,yes,yes,no,no,yes,yes,one year,yes,electronic check,104.15,100,7303.05,no
9750-BOOHV,female,0,no,no,32,25-48,no,No,dsl,yes,no,no,no,no,no,one year,no,mailed check,30.15,30,927.65,no
8597-CWYHH,male,0,no,no,43,25-48,yes,yes,fiber optic,no,no,no,no,yes,yes,one year,no,mailed check,94.35,90,3921.3,no
2848-YXSMW,male,0,yes,yes,72,49+,yes,no,no,No,No,No,No,No,No,two year,no,credit card (automatic),19.4,10,1363.25,no
0486-HECZI,male,0,yes,no,55,49+,yes,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,yes,electronic check,96.75,90,5238.9,yes
4549-ZDQYY,female,0,no,no,52,49+,yes,no,dsl,yes,no,yes,yes,no,no,one year,no,credit card (automatic),57.95,50,3042.25,no
5712-AHQNN,female,0,no,no,43,25-48,yes,no,fiber optic,no,yes,yes,no,yes,no,month-to-month,yes,electronic check,91.65,90,3954.1,no
4846-WHAFZ,female,1,yes,no,37,25-48,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,76.5,70,2868.15,yes
5256-SKJGO,female,0,yes,yes,64,49+,no,No,dsl,no,yes,no,yes,yes,yes,two year,yes,electronic check,54.6,50,3423.5,no
3071-VBYPO,male,0,yes,yes,3,0-12,yes,no,fiber optic,yes,yes,no,no,yes,no,month-to-month,no,electronic check,89.85,80,248.4,no
9560-BBZXK,female,0,no,no,36,25-48,no,No,dsl,yes,no,no,no,no,no,two year,no,bank transfer (automatic),31.05,30,1126.35,no
5299-RULOA,female,0,yes,yes,10,0-12,yes,yes,fiber optic,yes,no,no,no,yes,yes,month-to-month,yes,electronic check,100.25,100,1064.65,yes
8402-OOOHJ,female,0,no,no,41,25-48,yes,no,no,No,No,No,No,No,No,two year,no,mailed check,20.65,20,835.15,no
9445-ZUEQE,male,0,yes,yes,27,25-48,yes,yes,fiber optic,no,yes,no,yes,no,no,month-to-month,yes,credit card (automatic),85.2,80,2151.6,no
1091-SOZGA,female,0,yes,yes,56,49+,yes,yes,fiber optic,no,no,yes,no,yes,yes,one year,yes,credit card (automatic),99.8,90,5515.45,no
2928-HLDBA,female,0,no,no,6,0-12,yes,no,no,No,No,No,No,No,No,month-to-month,no,mailed check,20.7,20,112.75,no
0404-SWRVG,male,0,no,no,3,0-12,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.4,70,229.55,yes
6497-TILVL,female,0,yes,yes,7,0-12,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,mailed check,50.7,50,350.35,no
7219-TLZHO,female,0,yes,yes,4,0-12,yes,no,no,No,No,No,No,No,No,month-to-month,no,mailed check,20.85,20,62.9,no
4622-YNKIJ,male,0,no,no,33,25-48,yes,no,fiber optic,yes,no,no,yes,yes,no,two year,yes,electronic check,88.95,80,3027.65,no
4412-YLTKF,female,1,no,no,27,25-48,yes,yes,fiber optic,no,no,yes,no,no,no,month-to-month,yes,electronic check,78.05,70,2135.5,yes
6734-PSBAW,male,0,yes,no,72,49+,yes,yes,no,No,No,No,No,No,No,two year,yes,bank transfer (automatic),23.55,20,1723.95,no
3930-ZGWVE,male,0,no,no,1,0-12,yes,no,no,No,No,No,No,No,No,month-to-month,no,mailed check,19.75,10,19.75,no
2639-UGMAZ,male,1,no,no,71,49+,no,No,dsl,yes,yes,no,no,yes,yes,one year,yes,electronic check,56.45,50,3985.35,no
2876-GZYZC,female,0,no,no,13,13-24,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,85.95,80,1215.65,no
6207-WIOLX,female,0,yes,yes,25,25-48,no,No,dsl,yes,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),58.6,50,1502.65,yes
8587-XYZSF,male,0,no,no,67,49+,yes,no,dsl,no,no,no,yes,no,no,two year,no,bank transfer (automatic),50.55,50,3260.1,no
3091-FYHKI,male,0,no,no,1,0-12,no,No,dsl,no,no,no,no,no,yes,month-to-month,yes,electronic check,35.45,30,35.45,yes
2372-HWUHI,male,0,no,no,2,0-12,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,44.35,40,81.25,yes
7799-LGRDP,female,0,no,no,43,25-48,yes,yes,no,No,No,No,No,No,No,two year,yes,credit card (automatic),25.7,20,1188.2,no
7850-VWJUU,female,0,no,no,23,13-24,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),75,70,1778.5,no
3774-VBNXY,female,0,yes,yes,64,49+,yes,no,no,No,No,No,No,No,No,two year,no,mailed check,20.2,20,1277.75,no
6217-KDYWC,male,0,no,yes,57,49+,yes,no,no,No,No,No,No,No,No,two year,yes,mailed check,19.6,10,1170.55,no
0390-DCFDQ,female,1,yes,no,1,0-12,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,70.45,70,70.45,yes
3146-MSEGF,female,1,yes,yes,72,49+,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),88.05,80,6425.65,no
4080-OGPJL,female,0,no,no,8,0-12,yes,yes,dsl,yes,no,no,yes,no,yes,month-to-month,no,electronic check,71.15,70,563.65,yes
1095-WGNGG,female,0,yes,no,61,49+,yes,yes,fiber optic,no,yes,no,no,yes,yes,two year,yes,bank transfer (automatic),101.05,100,5971.25,no
2636-SJDOU,male,0,no,no,64,49+,yes,yes,fiber optic,yes,yes,no,no,no,no,one year,yes,credit card (automatic),84.3,80,5289.05,no
1131-QQZEB,male,1,yes,no,71,49+,yes,yes,no,No,No,No,No,No,No,two year,no,bank transfer (automatic),23.95,20,1756.2,no
5716-EZXZN,female,0,yes,yes,65,49+,yes,yes,fiber optic,yes,yes,no,yes,yes,no,two year,yes,credit card (automatic),99.05,90,6416.7,no
6837-BJYDQ,male,0,no,no,3,0-12,yes,no,no,No,No,No,No,No,No,one year,no,mailed check,19.6,10,61.35,no
2135-RXIHG,male,0,no,no,1,0-12,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,45.65,40,45.65,yes
6440-DKQGE,male,0,no,yes,30,25-48,yes,no,dsl,no,yes,yes,no,yes,no,one year,no,credit card (automatic),64.5,60,1929.95,no
3466-BYAVD,male,0,yes,yes,15,13-24,yes,no,dsl,no,yes,yes,yes,no,yes,month-to-month,yes,mailed check,69.5,60,1071.4,no
3780-YVMFA,female,0,yes,yes,8,0-12,yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,68.55,60,564.35,no
3874-EQOEP,male,0,no,no,7,0-12,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,no,mailed check,95,90,655.5,yes
1679-JRFBR,female,0,yes,yes,70,49+,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,yes,credit card (automatic),108.15,100,7930.55,no
9073-ZZIAY,male,0,yes,yes,62,49+,yes,no,dsl,yes,yes,yes,yes,yes,yes,two year,no,electronic check,86.1,80,5215.25,no
3077-RSNTJ,female,0,yes,yes,6,0-12,yes,no,no,No,No,No,No,No,No,month-to-month,no,mailed check,19.7,10,113.5,no
6551-GNYDG,female,0,yes,yes,14,13-24,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,bank transfer (automatic),80.9,80,1152.8,no
9167-APMXZ,female,0,no,no,22,13-24,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,bank transfer (automatic),84.15,80,1821.95,no
2749-CTKAJ,male,0,yes,yes,22,13-24,yes,no,no,No,No,No,No,No,No,one year,no,mailed check,20.15,20,419.9,no
6371-NZYEG,male,0,yes,yes,16,13-24,yes,no,dsl,yes,no,yes,no,yes,no,two year,no,mailed check,64.25,60,1024,no
7554-NEWDD,male,0,no,no,10,0-12,yes,yes,no,No,No,No,No,No,No,two year,no,bank transfer (automatic),25.7,20,251.6,no
8992-VONJD,female,0,no,yes,13,13-24,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,electronic check,56,50,764.55,no
0867-MKZVY,female,0,yes,no,20,13-24,yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,no,electronic check,82.4,80,1592.35,yes
4482-EWFMI,female,0,no,no,2,0-12,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,69.7,60,135.2,no
4648-YPBTM,male,0,no,no,53,49+,yes,yes,dsl,no,yes,yes,yes,no,yes,two year,yes,bank transfer (automatic),73.9,70,3958.25,no
2907-ILJBN,female,0,yes,yes,11,0-12,yes,no,no,No,No,No,No,No,No,one year,no,mailed check,20.6,20,233.9,no
6345-FZOQH,male,0,yes,no,69,49+,yes,no,no,No,No,No,No,No,No,two year,no,mailed check,19.9,10,1363.45,no
3376-BMGFE,female,0,no,no,4,0-12,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),70.9,70,273,yes
5997-OPVFA,male,0,yes,no,72,49+,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),89.05,80,6254.45,no
3445-HXXGF,male,1,yes,no,58,49+,no,No,dsl,no,yes,yes,no,no,yes,month-to-month,yes,electronic check,45.3,40,2651.2,yes
1159-WFSGR,female,0,yes,yes,16,13-24,yes,no,no,No,No,No,No,No,No,month-to-month,no,electronic check,20.4,20,321.4,no
7654-YWJUF,male,0,yes,no,43,25-48,yes,no,fiber optic,yes,no,yes,yes,no,no,one year,yes,bank transfer (automatic),84.25,80,3539.25,no
1875-QIVME,female,0,yes,no,2,0-12,yes,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,104.4,100,242.8,yes
6727-IOTLZ,male,0,yes,no,14,13-24,yes,no,dsl,no,yes,yes,yes,yes,yes,two year,no,mailed check,81.95,80,1181.75,no
0691-JVSYA,female,0,yes,no,53,49+,yes,no,fiber optic,no,no,yes,no,yes,yes,one year,yes,bank transfer (automatic),94.85,90,5000.2,yes
5918-VUKWP,female,0,no,no,32,25-48,yes,no,no,No,No,No,No,No,No,one year,no,bank transfer (automatic),20.55,20,654.55,no
1744-JHKYS,female,0,yes,no,34,25-48,yes,yes,no,No,No,No,No,No,No,month-to-month,no,electronic check,24.7,20,780.2,no
2656-FMOKZ,female,1,no,no,15,13-24,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,74.45,70,1145.7,yes
2070-FNEXE,female,1,no,no,7,0-12,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,no,bank transfer (automatic),76.45,70,503.6,yes
5947-SGKCL,female,0,yes,yes,15,13-24,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),105.35,100,1559.25,no
3712-PKXZA,male,0,yes,no,61,49+,yes,no,no,No,No,No,No,No,No,one year,yes,credit card (automatic),20.55,20,1252,no
6317-YPKDH,female,0,no,no,1,0-12,no,No,dsl,no,yes,no,no,no,no,month-to-month,no,bank transfer (automatic),29.95,20,29.95,yes
6582-OIVSP,female,0,no,no,1,0-12,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,45.3,40,45.3,no
9367-WXLCH,male,0,no,no,8,0-12,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,no,bank transfer (automatic),84.5,80,662.65,yes
5524-KHNJP,male,0,yes,yes,33,25-48,yes,no,dsl,yes,no,yes,no,yes,yes,one year,no,credit card (automatic),74.75,70,2453.3,no
